Account,Date,Amount,Description,Location,Category,
B456,16/03/2023, 40.00, Online Shopping, Online, Shopping,
C789,17/03/2023, 60.00, Gym Membership Renewal, San Francisco, Subscriptions,
A123,18/03/2023, 15.00, Dining Out - Italian Restaurant, Boston, Dining Out,
B456,19/03/2023, 120.00, Rent Payment, Chicago, Rent,
C789,20/03/2023, 30.00, Online Gaming Subscription, Los Angeles, Subscriptions,
A123,21/03/2023, 45.00, Doctor's Visit, San Francisco, Healthcare,
B456,22/03/2023, 70.00, Grocery Shopping, New York, Groceries,
C789,23/03/2023, 15.00, ATM Withdrawal - $15, Chicago, Cash Withdrawal,
A123,24/03/2023, 150.00, Mortgage Payment, Los Angeles, Loan Payment,
B456,25/03/2023, 40.00, Utility Bill Payment, New York, Utilities,
C789,26/03/2023, 35.00, Car Repair - Auto Shop, San Francisco, Automotive,
B456,27/03/2023, 30.00, Coffee Shop - Morning Coffee, Boston, Dining Out,
C789,28/03/2023, 20.00, Online Shopping - Electronics, Chicago, Online Shopping,
A123,29/03/2023, 10.00, Snack Purchase, Los Angeles, Dining Out,
B456,30/03/2023, 60.00, Paycheck Deposit, New York, Income,
C789,31/03/2023, 50.00, Credit Card Payment, San Francisco, Credit Card Payment,
A123,01/04/2023, 25.00, Movie Theater Tickets, Chicago, Entertainment,
B456,02/04/2023, 20.00, Car Wash, Los Angeles, Automotive,
C789,03/04/2023, 40.00, Online Shopping, Online, Shopping,
A123,04/04/2023, 60.00, Gym Membership Renewal, San Francisco, Subscriptions,
B456,05/04/2023, 15.00, Dining Out - Japanese Restaurant, Boston, Dining Out,
C789,06/04/2023, 120.00, Rent Payment, Chicago, Rent,
A123,07/04/2023, 30.00, Online Gaming Subscription, Los Angeles, Subscriptions,
B456,08/04/2023, 45.00, Doctor's Visit, New York, Healthcare,
C789,09/04/2023, 70.00, Grocery Shopping, San Francisco, Groceries,
A123,10/04/2023, 15.00, ATM Withdrawal - $15, Chicago, Cash Withdrawal,
B456,11/04/2023, 150.00, Mortgage Payment, Los Angeles, Loan Payment,
C789,12/04/2023, 40.00, Utility Bill Payment, New York, Utilities,
A123,13/04/2023, 35.00, Car Repair - Auto Shop, San Francisco, Automotive,
B456,14/04/2023, 30.00, Coffee Shop - Morning Coffee, Boston, Dining Out,
C789,15/04/2023, 20.00, Online Shopping - Electronics, Chicago, Online Shopping,
A123,16/04/2023, 10.00, Snack Purchase, Los Angeles, Dining Out,
B456,17/04/2023, 60.00, Paycheck Deposit, New York, Income,
C789,18/04/2023, 50.00, Credit Card Payment, San Francisco, Credit Card Payment,
A123,19/04/2023, 25.00, Movie Theater Tickets, Chicago, Entertainment,
B456,20/04/2023, 20.00, Car Wash, Los Angeles, Automotive,
C789,21/04/2023, 40.00, Online Shopping, Online, Shopping,
A123,22/04/2023, 60.00, Gym Membership Renewal, San Francisco, Subscriptions,
B456,23/04/2023, 15.00, Dining Out - Mexican Restaurant, Boston, Dining Out,
C789,24/04/2023, 120.00, Rent Payment, Chicago, Rent,
A123,25/04/2023, 30.00, Online Gaming Subscription, Los Angeles, Subscriptions,
B456,26/04/2023, 45.00, Doctor's Visit, New York, Healthcare,
C789,27/04/2023, 70.00, Grocery Shopping, San Francisco, Groceries,
A123,28/04/2023, 15.00, ATM Withdrawal - $15, Chicago, Cash Withdrawal,
B456,29/04/2023, 150.00, Mortgage Payment, Los Angeles, Loan Payment,
C789,30/04/2023, 40.00, Utility Bill Payment, New York, Utilities,
A123,01/05/2023, 35.00, Car Repair - Auto Shop, San Francisco, Automotive,
B456,02/05/2023, 30.00, Coffee Shop - Morning Coffee, Boston, Dining Out,
C789,03/05/2023, 20.00, Online Shopping - Electronics, Chicago, Online Shopping,
A123,04/05/2023, 10.00, Snack Purchase, Los Angeles, Dining Out,
B456,05/05/2023, 60.00, Paycheck Deposit, New York, Income,
C789,06/05/2023, 50.00, Credit Card Payment, San Francisco, Credit Card Payment,
A123,07/05/2023, 25.00, Movie Theater Tickets, Chicago, Entertainment,
B456,08/05/2023, 20.00, Car Wash, Los Angeles, Automotive,
C789,09/05/2023, 40.00, Online Shopping, Online, Shopping,
A123,10/05/2023, 60.00, Gym Membership Renewal, San Francisco, Subscriptions,
B456,11/05/2023, 15.00, Dining Out - Indian Restaurant, Boston, Dining Out,
C789,12/05/2023, 120.00, Rent Payment, Chicago, Rent,
A123,13/05/2023, 30.00, Online Gaming Subscription, Los Angeles, Subscriptions,
B456,14/05/2023, 45.00, Doctor's Visit, New York, Healthcare,
C789,15/05/2023, 70.00, Grocery Shopping, San Francisco, Groceries,
A123,16/05/2023, 15.00, ATM Withdrawal - $15, Chicago, Cash Withdrawal,
A123,18/05/2023, 40.00, Point of Sale Shopping, Los Angeles, Shopping,
B456,19/05/2023, 20.00, Coffee Shop - Morning Coffee, Boston, Dining Out,
C789,20/05/2023, 10.00, Snack Purchase, Chicago, Dining Out,
A123,21/05/2023, 60.00, Paycheck Deposit, San Francisco, Income,
B456,22/05/2023, 50.00, Credit Card Payment, New York, Credit Card Payment,
C789,23/05/2023, 25.00, Movie Theater Tickets, Los Angeles, Entertainment,
A123,24/05/2023, 20.00, Car Wash, Chicago, Automotive,
B456,25/05/2023, 40.00, Online Shopping, Online, Shopping,
C789,26/05/2023, 60.00, Gym Membership Renewal, San Francisco, Subscriptions,
A123,27/05/2023, 15.00, Dining Out - Thai Restaurant, Boston, Dining Out,
B456,28/05/2023, 120.00, Rent Payment, Chicago, Rent,
C789,29/05/2023, 30.00, Online Gaming Subscription, New York, Subscriptions,
A123,30/05/2023, 45.00, Doctor's Visit, Los Angeles, Healthcare,
B456,31/05/2023, 70.00, Grocery Shopping, San Francisco, Groceries,
A123,01/06/2023, 15.00, ATM Withdrawal - $15, Chicago, Cash Withdrawal,
B456,02/06/2023, 150.00, Mortgage Payment, Los Angeles, Loan Payment,
C789,03/06/2023, 40.00, Utility Bill Payment, Boston, Utilities,
A123,04/06/2023, 35.00, Car Repair - Auto Shop, San Francisco, Automotive,
B456,05/06/2023, 30.00, Coffee Shop - Morning Coffee, New York, Dining Out,
C789,06/06/2023, 20.00, Online Shopping - Electronics, Los Angeles, Online Shopping,
A123,07/06/2023, 10.00, Snack Purchase, Chicago, Dining Out,
B456,08/06/2023, 60.00, Paycheck Deposit, San Francisco, Income,
C789,09/06/2023, 50.00, Credit Card Payment, Boston, Credit Card Payment,
A123,10/06/2023, 25.00, Movie Theater Tickets, Chicago, Entertainment,
B456,11/06/2023, 20.00, Car Wash, Los Angeles, Automotive,
C789,12/06/2023, 40.00, Online Shopping, Online, Shopping,
A123,13/06/2023, 60.00, Gym Membership Renewal, San Francisco, Subscriptions,
B456,14/06/2023, 15.00, Dining Out - Mexican Restaurant, New York, Dining Out,
C789,15/06/2023, 120.00, Rent Payment, Los Angeles, Rent,
A123,16/06/2023, 30.00, Online Gaming Subscription, Boston, Subscriptions,
B456,17/06/2023, 45.00, Doctor's Visit, San Francisco, Healthcare,
C789,18/06/2023, 70.00, Grocery Shopping, Chicago, Groceries,
A123,19/06/2023, 15.00, ATM Withdrawal - $15, Los Angeles, Cash Withdrawal,
B456,20/06/2023, 150.00, Mortgage Payment, New York, Loan Payment,
C789,21/06/2023, 40.00, Utility Bill Payment, San Francisco, Utilities,
A123,22/06/2023, 35.00, Car Repair - Auto Shop, Chicago, Automotive,
B456,23/06/2023, 30.00, Coffee Shop - Morning Coffee, Los Angeles, Dining Out,
C789,24/06/2023, 20.00, Online Shopping - Electronics, Boston, Online Shopping,
A123,25/06/2023, 10.00, Snack Purchase, San Francisco, Dining Out,
B456,26/06/2023, 60.00, Paycheck Deposit, Chicago, Income,
C789,27/06/2023, 50.00, Credit Card Payment, Los Angeles, Credit Card Payment,
A123,28/06/2023, 25.00, Movie Theater Tickets, New York, Entertainment,
B456,29/06/2023, 20.00, Car Wash, San Francisco, Automotive,
C789,30/06/2023, 40.00, Online Shopping, Online, Shopping,
A123,01/07/2023, 60.00, Gym Membership Renewal, Boston, Subscriptions,
B456,02/07/2023, 15.00, Dining Out - Italian Restaurant, Chicago, Dining Out,
C789,03/07/2023, 120.00, Rent Payment, Los Angeles, Rent,
A123,04/07/2023, 30.00, Online Gaming Subscription, San Francisco, Subscriptions,
B456,05/07/2023, 45.00, Doctor's Visit, New York, Healthcare,
C789,06/07/2023, 70.00, Grocery Shopping, Chicago, Groceries,
A123,07/07/2023, 2,500.00, Salary Credit, Boston, Income
B456,08/07/2023, 40.00, Point of Sale Shopping, Chicago, Shopping,
C789,09/07/2023, 20.00, Coffee Shop - Morning Coffee, Los Angeles, Dining Out,
A123,10/07/2023, 10.00, Snack Purchase, San Francisco, Dining Out,
B456,11/07/2023, 60.00, Paycheck Deposit, New York, Income,
C789,12/07/2023, 50.00, Credit Card Payment, Boston, Credit Card Payment,
A123,13/07/2023, 25.00, Movie Theater Tickets, Chicago, Entertainment,
B456,14/07/2023, 20.00, Car Wash, Los Angeles, Automotive,
C789,15/07/2023, 40.00, Online Shopping, Online, Shopping,
A123,16/07/2023, 60.00, Gym Membership Renewal, San Francisco, Subscriptions,
B456,17/07/2023, 15.00, Dining Out - Sushi Restaurant, Boston, Dining Out,
C789,18/07/2023, 120.00, Rent Payment, Chicago, Rent,
A123,19/07/2023, 30.00, Online Gaming Subscription, Los Angeles, Subscriptions,
B456,20/07/2023, 45.00, Doctor's Visit, New York, Healthcare,
C789,21/07/2023, 70.00, Grocery Shopping, San Francisco, Groceries,
A123,22/07/2023, 15.00, ATM Withdrawal - $15, Boston, Cash Withdrawal,
B456,23/07/2023, 150.00, Mortgage Payment, Chicago, Loan Payment,
C789,24/07/2023, 40.00, Utility Bill Payment, Los Angeles, Utilities,
A123,25/07/2023, 35.00, Car Repair - Auto Shop, San Francisco, Automotive,
B456,26/07/2023, 30.00, Coffee Shop - Morning Coffee, New York, Dining Out,
C789,27/07/2023, 20.00, Online Shopping - Electronics, Boston, Online Shopping,
A123,28/07/2023, 10.00, Snack Purchase, Chicago, Dining Out,
B456,29/07/2023, 60.00, Paycheck Deposit, Los Angeles, Income,
C789,30/07/2023, 50.00, Credit Card Payment, San Francisco, Credit Card Payment,
A123,31/07/2023, 25.00, Movie Theater Tickets, New York, Entertainment,
B456,01/08/2023, 20.00, Car Wash, Chicago, Automotive,
C789,02/08/2023, 40.00, Online Shopping, Online, Shopping,
A123,03/08/2023, 60.00, Gym Membership Renewal, Boston, Subscriptions,
B456,04/08/2023, 15.00, Dining Out - Indian Restaurant, Chicago, Dining Out,
C789,05/08/2023, 120.00, Rent Payment, Los Angeles, Rent,
A123,06/08/2023, 30.00, Online Gaming Subscription, San Francisco, Subscriptions,
B456,07/08/2023, 45.00, Doctor's Visit, Boston, Healthcare,
A123,08/08/2023, 2,500.00, Salary Credit, Chicago, Income
B456,09/08/2023, 70.00, Grocery Shopping, Los Angeles, Groceries,
C789,10/08/2023, 15.00, ATM Withdrawal - $15, New York, Cash Withdrawal,
A123,11/08/2023, 150.00, Mortgage Payment, San Francisco, Loan Payment,
B456,12/08/2023, 40.00, Utility Bill Payment, Boston, Utilities,
C789,13/08/2023, 35.00, Car Repair - Auto Shop, Chicago, Automotive,
A123,14/08/2023, 30.00, Coffee Shop - Morning Coffee, Los Angeles, Dining Out,
B456,15/08/2023, 20.00, Online Shopping - Electronics, San Francisco, Online Shopping,
C789,16/08/2023, 10.00, Snack Purchase, New York, Dining Out,
A123,17/08/2023, 60.00, Paycheck Deposit, Boston, Income,
B456,18/08/2023, 50.00, Credit Card Payment, Chicago, Credit Card Payment,
C789,19/08/2023, 25.00, Movie Theater Tickets, Los Angeles, Entertainment,
A123,20/08/2023, 20.00, Car Wash, San Francisco, Automotive,
B456,21/08/2023, 40.00, Online Shopping, Online, Shopping,
C789,22/08/2023, 60.00, Gym Membership Renewal, New York, Subscriptions,
A123,23/08/2023, 15.00, Dining Out - Mexican Restaurant, Boston, Dining Out,
B456,24/08/2023, 120.00, Rent Payment, Chicago, Rent,
C789,25/08/2023, 30.00, Online Gaming Subscription, Los Angeles, Subscriptions,
A123,26/08/2023, 45.00, Doctor's Visit, San Francisco, Healthcare,
B456,27/08/2023, 70.00, Grocery Shopping, New York, Groceries,
A123,28/08/2023, 15.00, ATM Withdrawal - $15, Boston, Cash Withdrawal,
B456,29/08/2023, 150.00, Mortgage Payment, Chicago, Loan Payment,
A123,31/08/2023, 2,500.00, Earnings Deposit, San Francisco, Income
B456,01/09/2023, 40.00, Point of Sale Shopping, Los Angeles, Shopping,
C789,02/09/2023, 20.00, Coffee Shop - Morning Coffee, Chicago, Dining Out,
A123,03/09/2023, 10.00, Snack Purchase, New York, Dining Out,
B456,04/09/2023, 60.00, Earnings Credit, Boston, Income,
C789,05/09/2023, 50.00, Credit Card Payment, San Francisco, Credit Card Payment,
A123,06/09/2023, 25.00, Movie Theater Tickets, Los Angeles, Entertainment,
B456,07/09/2023, 20.00, Car Wash, Chicago, Automotive,
C789,08/09/2023, 40.00, Online Shopping, Online, Shopping,
A123,09/09/2023, 60.00, Gym Membership Renewal, San Francisco, Subscriptions,
B456,10/09/2023, 15.00, Dining Out - Sushi Restaurant, New York, Dining Out,
C789,11/09/2023, 120.00, Rent Payment, Boston, Rent,
A123,12/09/2023, 30.00, Online Gaming Subscription, Los Angeles, Subscriptions,
B456,13/09/2023, 45.00, Doctor's Visit, Chicago, Healthcare,
C789,14/09/2023, 70.00, Grocery Shopping, San Francisco, Groceries,
A123,15/09/2023, 15.00, ATM Withdrawal - $15, Los Angeles, Cash Withdrawal,
B456,16/09/2023, 150.00, Mortgage Payment, Boston, Loan Payment,
C789,17/09/2023, 40.00, Utility Bill Payment, Chicago, Utilities,
A123,18/09/2023, 35.00, Car Repair - Auto Shop, New York, Automotive,
B456,19/09/2023, 30.00, Coffee Shop - Morning Coffee, San Francisco, Dining Out,
C789,20/09/2023, 20.00, Online Shopping - Electronics, Los Angeles, Online Shopping,
A123,21/09/2023, 10.00, Snack Purchase, Chicago, Dining Out,
B456,22/09/2023, 60.00, Earnings Credit, Boston, Income,
C789,23/09/2023, 50.00, Credit Card Payment, San Francisco, Credit Card Payment,
A123,24/09/2023, 25.00, Movie Theater Tickets, Los Angeles, Entertainment,
B456,25/09/2023, 20.00, Car Wash, Chicago, Automotive,
C789,26/09/2023, 40.00, Online Shopping, Online, Shopping,
A123,27/09/2023, 60.00, Gym Membership Renewal, New York, Subscriptions,
B456,28/09/2023, 15.00, Dining Out - Indian Restaurant, San Francisco, Dining Out,
C789,29/09/2023, 120.00, Rent Payment, Los Angeles, Rent,
A123,30/09/2023, 30.00, Online Gaming Subscription, Chicago, Subscriptions,
B456,01/10/2023, 45.00, Doctor's Visit, Boston, Healthcare,
C789,02/10/2023, 70.00, Grocery Shopping, San Francisco, Groceries,
A123,03/10/2023, 15.00, ATM Withdrawal - $15, Los Angeles, Cash Withdrawal,
B456,04/10/2023, 150.00, Mortgage Payment, Chicago, Loan Payment,
C789,05/10/2023, 40.00, Utility Bill Payment, New York, Utilities,
A123,06/10/2023, 35.00, Car Repair - Auto Shop, San Francisco, Automotive,
B456,07/10/2023, 30.00, Coffee Shop - Morning Coffee, Boston, Dining Out,
C789,08/10/2023, 20.00, Online Shopping - Electronics, Los Angeles, Online Shopping,
A123,09/10/2023, 10.00, Snack Purchase, Chicago, Dining Out,
B456,10/10/2023, 60.00, Earnings Credit, San Francisco, Income,
C789,11/10/2023, 50.00, Credit Card Payment, New York, Credit Card Payment,
A123,12/10/2023, 25.00, Movie Theater Tickets, Boston, Entertainment,
B456,13/10/2023, 20.00, Car Wash, Chicago, Automotive,
C789,14/10/2023, 40.00, Online Shopping, Online, Shopping,
A123,15/10/2023, 60.00, Gym Membership Renewal, Los Angeles, Subscriptions,
B456,16/10/2023, 15.00, Dining Out - Mexican Restaurant, San Francisco, Dining Out,
C789,17/10/2023, 120.00, Rent Payment, Chicago, Rent,
A123,18/10/2023, 30.00, Online Gaming Subscription, New York, Subscriptions,
B456,19/10/2023, 45.00, Doctor's Visit, Boston, Healthcare,
C789,20/10/2023, 70.00, Grocery Shopping, Los Angeles, Groceries,
A123,21/10/2023, 15.00, ATM Withdrawal - $15, San Francisco, Cash Withdrawal,
B456,22/10/2023, 150.00, Mortgage Payment, Chicago, Loan Payment,
C789,23/10/2023, 40.00, Utility Bill Payment, Boston, Utilities,
A123,24/10/2023, 35.00, Car Repair - Auto Shop, Los Angeles, Automotive,
B456,25/10/2023, 30.00, Coffee Shop - Morning Coffee, San Francisco, Dining Out,
C789,26/10/2023, 20.00, Online Shopping - Electronics, New York, Online Shopping,
A123,27/10/2023, 10.00, Snack Purchase, Chicago, Dining Out,
